OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,lat,lon,POINT_Z
723,Mulhuddart Community Resource Centre,,Health Centre,NULL,10 Dromheath AvenueDublin 15,,,,D15 T2FH,-6.39009318342106,53.4064217259014,
724,Mullagh,Mullagh,Health Centre,,Mullagh,Co. Clare.,,,,-9.41819848194411,52.7997472417781,
725,Mullagh Health Centre,Mullagh,Health Centre,,Bailieborough Road,Mullagh,Co. Cavan,,A82 X922,-6.94905898587476,53.8125381759304,
726,Mullaghboy Industrial Estate - PCC,,Health Centre,NULL,Mullaghboy Industrial Estate,Navan,Co. Meath,,C15 C7PF,-6.7058384419515,53.6459678029362,
727,Mullinahone Health Centre,Mullinahone,Health Centre,,Kickham Street,Mullinahone,Co. Tipperary,,E41 HD82,-7.50359583346633,52.5132882563643,
728,"Mullinavat Health Centre, at",Mullinavat,Health Centre,,Main Street,Mullinavat,Co. Kilkenny,,X91 AK68,-7.17119950523738,52.3684822228087,
729,Mullingar Primary Care Centre,Mullingar,Health Centre,,Harbour Road,Mullingar,Co. Westmeath,,N91 V6R9,-7.34427483789208,53.5325016024819,
730,Mulranny Health Centre &  CWO Depot,Mulranny,Health Centre,,Mulranny,Westport,Co. Mayo,,F28 DK28,-9.77446624437619,53.9070637059617,
731,Murroe Health Centre,Murroe,Health Centre,,Main Street,Murroe,Co. Limerick,,V94 DX39,-8.39856034049062,52.6518548432734,
732,Museum House,,Health Centre,NULL,Francis Street,Ennis,Co. Clare,,V95 HA29,-8.98152664529088,52.8451853303988,
733,Myshall Health Centre,Myshall,Health Centre,,Myshall,Co. Carlow,,,R21 CA33,-6.78181274204695,52.687157691197,
734,Navan,Navan,Health Centre,,Child And Family Centre,County Clinic,Navan,Co. Meath.,,-6.69533197545882,53.650897421439,
735,Nazareth House PCC,,Health Centre,NULL,Nazareth House,Church Hill,Sligo,F91 N1WT,,-8.48435827876668,54.2677068462985,
736,Nenagh Health Centre PCC,,Health Centre,NULL,Nenagh Health Centre,Tyone,Nenagh,Co. Tipperary,E45 KH59,-8.19198820441516,52.8571259840268,
737,New Ballybay Health Centre,Ballybay,Health Centre,,Main Street,Ballybay,Co. Monaghan,,A75 DR04,-6.90315418193084,54.1290731997596,
738,New Inn,New Inn,Health Centre,,New Inn,Cashel,Co. Tipperary.,,,-7.87795096842996,52.4407277744177,
739,New Kells Primare Care Centre (Co Meath),Kells,Health Centre,,Navan Road,Kells,Co. Meath,,A82 H3C7,-6.86271458085183,53.724708081201,
740,New Rockcorry Health Centre,Rockcorry,Health Centre,,Farney House,Monaghan Road,Rockcorry,Co. Monaghan,H18 KH92,-7.0151693044502,54.1179279672697,
741,New Ross ,New Ross Health Centre,Health Centre,,Hospital Grounds,New Ross,Co Wexford,,,-6.93779061237555,52.3893439968006,
